player_name,team,innings,overall_runs,balls,average,strike_rate,centuries,fifties,zeros
Shamsur Rahman,Bangladesh,10,266,359,26.6,54.04046335,0,2,2
Al-Amin Hossain,Bangladesh,6,4,20,0.666666667,17.38095238,0,0,3
Zeeshan Siddiqi,Canada,1,7,21,7,33.33333333,0,0,0
PC de Silva,Sri Lanka,7,94,115,13.42857143,78.08432807,0,0,0
STR Binny,India,11,230,252,20.90909091,90.04041612,0,1,1
Mohammad Talha,Pakistan,1,0,1,0,0,0,0,1
LR Johnson,West Indies,3,19,65,6.333333333,16.36904762,0,0,1
VR Vanitha,India,2,50,64,25,79.07907908,0,0,0
Zulfiqar Babar,Pakistan,5,35,40,7,76.51515152,0,0,0
Raza Hasan,Pakistan,1,0,3,0,0,0,0,1
J Anderson,Ireland,7,144,256,20.57142857,52.45547528,0,0,0
GJ McCarter,Ireland,1,1,1,1,100,0,0,0
J Nyumbu,Zimbabwe,14,46,92,3.285714286,40.98072562,0,0,3
Salman Faris,United Arab Emirates,2,27,48,13.5,29.34782609,0,0,1
Mohammad Shahzad (2),United Arab Emirates,5,128,171,25.6,45.23915259,0,1,2
Fayyaz Ahmed,United Arab Emirates,3,47,104,15.66666667,56.70731707,0,0,0
Irfan Sajid,United Arab Emirates,1,2,5,2,40,0,0,0
Ankur Sharma,Hong Kong,1,16,31,16,51.61290323,0,0,0
Haseeb Amjad,Hong Kong,1,21,15,21,140,0,0,0
BM Wheeler,New Zealand,4,58,47,14.5,114.3668831,0,0,0
JA Burns,Australia,6,146,189,24.33333333,55.72099262,0,1,1
Sania Khan,Pakistan,2,4,12,2,34.28571429,0,0,0
APS Lakshika,Sri Lanka,1,0,4,0,0,0,0,1
RL Grundy,England,1,1,6,1,16.66666667,0,0,0
D Wiese,South Africa,6,102,118,17,104.4961874,0,0,0
Jubair Hossain,Bangladesh,1,5,10,5,50,0,0,0
NA Moodley,South Africa,1,5,10,5,50,0,0,0
Saad Nasim,Pakistan,3,99,125,33,57.01603666,0,1,1
Sami Aslam,Pakistan,4,78,123,19.5,52.05791549,0,0,0
GA Guy,New Zealand,1,0,4,0,0,0,0,1
Gurkeerat Singh,India,2,13,13,6.5,98.80952381,0,0,0
R Dhawan,India,2,12,13,6,86.25,0,0,0
Bilal Asif,Pakistan,3,40,52,13.33333333,40,0,0,1
Zafar Gohar,Pakistan,1,15,15,15,100,0,0,0
Asif Iqbal (1),United Arab Emirates,1,8,8,8,100,0,0,0
Umair Ali,United Arab Emirates,1,10,11,10,90.90909091,0,0,0
L Sreekumar,United Arab Emirates,3,57,69,19,81.31091618,0,0,0
Y Punja,United Arab Emirates,1,1,7,1,14.28571429,0,0,0
Zaheer Maqsood,United Arab Emirates,1,5,10,5,50,0,0,0
KMC Bandara,Sri Lanka,1,1,3,1,33.33333333,0,0,0
SM Boland,Australia,4,9,22,2.25,54.16666667,0,0,1
J Blackwood,West Indies,2,11,25,5.5,38.97058824,0,0,0
O Kirsten,South Africa,1,22,54,22,40.74074074,0,0,0
SP Terry,Ireland,4,29,65,7.25,36.91176471,0,0,1
DJ Worrall,Australia,1,6,4,6,150,0,0,0
JM Mennie,Australia,2,1,5,0.5,16.66666667,0,0,1
CP Tremain,Australia,3,23,39,7.666666667,25.55555556,0,0,2
DS Weerakkody,Sri Lanka,3,73,67,24.33333333,101.994302,0,1,0
Yamin Ahmadzai,Afghanistan,2,3,19,1.5,21.42857143,0,0,1
U Raymond-Hoey,Ireland,1,6,18,6,33.33333333,0,0,0
CC Dalton,Ireland,1,18,27,18,66.66666667,0,0,0
